date;home_team;home_score;away_score;away_team;tournament;winner;phase_final;home_team_pourcentage_victoire;home_team_but_mis;home_team_but_enc;away_team_pourcentage_victoire;away_team_but_mis;away_team_but_enc;Rang_home_team;Rang_away_team;Host
1930;Argentina;3;1;Yugoslavia;0;2;0;55.56;1.9;0.7;41.67;2.4;2.1;;;1
1930;Brazil;4;1;Yugoslavia;0;2;0;100;3.7;2;41.67;2.4;2.1;;;1
1930;Brazil;4;3;United States;0;2;0;100;3.7;2;0;3;4;;;1
1930;Denmark;6;3;Germany;0;2;0;57.14;4.3;2;54.55;3.1;1.6;;;1
1930;Austria;2;3;Hungary;0;0;0;36.36;2.1;1.5;38.46;2.2;2.3;;;1
1930;Belgium;2;3;Czechoslovakia;0;0;0;38.46;2.2;2.2;37.5;2.2;1.7;;;1
1930;Norway;1;0;Denmark;0;2;0;63.64;3.3;2.2;57.14;4.3;2;;;1
1930;Belgium;2;2;Sweden;0;1;0;38.46;2.2;2.2;56.25;3.2;2.1;;;1
1930;Autre pays;4;4;Sweden;0;1;0;20;0.8;1.8;56.25;3.2;2.1;;;1
1930;Germany;5;3;Hungary;0;2;0;54.55;3.1;1.6;38.46;2.2;2.3;;;1
1930;Sweden;0;3;Poland;0;0;0;56.25;3.2;2.1;100;4.5;0;;;1
1930;Bulgaria;5;3;Romania;0;2;0;12.5;1.5;3.4;57.14;3.1;2;;;1
1930;England;5;1;Northern Ireland;0;2;0;63.64;3.5;1.2;16.67;2.3;3.3;;;1
1930;Scotland;1;1;Wales;0;1;0;70;3;1.6;0;0.8;4;;;1
1930;Hungary;1;1;Czechoslovakia;0;1;0;38.46;2.2;2.3;37.5;2.2;1.7;;;1
1930;Poland;6;0;Autre pays;0;2;0;100;4.5;0;20;0.8;1.8;;;1
1930;Germany;1;1;Norway;0;1;0;54.55;3.1;1.6;63.64;3.3;2.2;;;1
1930;Switzerland;6;3;Netherlands;0;2;0;7.69;1.7;3.7;9.09;1.8;3.5;;;1
1930;Austria;4;1;Sweden;0;2;0;36.36;2.1;1.5;56.25;3.2;2.1;;;1
1930;Bulgaria;0;3;Yugoslavia;0;0;0;12.5;1.5;3.4;41.67;2.4;2.1;;;1
1930;Wales;0;4;England;0;0;0;0;0.8;4;63.64;3.5;1.2;;;1
1930;Portugal;0;1;Spain;0;0;0;28.57;0.7;2.3;85.71;3.1;1.1;;;1
1930;France;2;2;Belgium;0;1;0;21.43;1.5;2.9;38.46;2.2;2.2;;;1
1930;Greece;6;1;Bulgaria;0;2;0;50;2.5;2.8;12.5;1.5;3.4;;;1
1931;Italy;5;0;France;0;2;0;61.54;2.5;0.9;23.08;1.7;2.7;;;1
1931;France;1;2;Czechoslovakia;0;0;0;23.08;1.7;2.7;37.5;2;1.6;;;1
1931;Northern Ireland;0;0;Scotland;0;1;0;25;2.2;2.5;54.55;1.7;1.8;;;1
1931;Italy;2;1;Austria;0;2;0;61.54;2.5;0.9;50;2.9;1;;;1
1931;Autre pays;2;1;Trinidad and Tobago;0;2;0;20;0.8;1.8;75;3.8;1;;;1
1931;Autre pays;1;5;Trinidad and Tobago;0;0;0;20;0.8;1.8;75;3.8;1;;;1
1931;Autre pays;0;2;Trinidad and Tobago;0;0;0;20;0.8;1.8;75;3.8;1;;;1
1931;Autre pays;1;7;Trinidad and Tobago;0;0;0;20;0.8;1.8;75;3.8;1;;;1
1931;France;1;0;Germany;0;2;0;23.08;1.7;2.7;23.08;1.8;2.5;;;1
1931;Yugoslavia;4;1;Greece;0;2;0;46.67;2.2;2.1;33.33;2.2;3.3;;;1
1931;Czechoslovakia;3;3;Hungary;0;1;0;37.5;2;1.6;37.5;2.4;2.1;;;1
1931;Scotland;2;0;England;0;2;0;54.55;1.7;1.8;63.64;3.5;1.6;;;1
1931;Netherlands;3;2;Belgium;0;2;0;30;2.1;2.8;40;2.3;2.1;;;1
1931;Switzerland;1;1;Italy;0;1;0;7.14;1.6;3.6;61.54;2.5;0.9;;;1
1931;Austria;2;1;Czechoslovakia;0;2;0;50;2.9;1;37.5;2;1.6;;;1
1931;Hungary;6;2;Switzerland;0;2;0;37.5;2.4;2.1;7.14;1.6;3.6;;;1
1931;Portugal;0;2;Italy;0;0;0;50;1.2;1.2;61.54;2.5;0.9;;;1
1931;Paraguay;0;1;Argentina;0;0;0;0;0.8;1.5;50;1.7;0.8;;;1
1931;Spain;0;0;Italy;0;1;0;50;1.5;1.5;61.54;2.5;0.9;;;1
1931;Yugoslavia;1;0;Bulgaria;0;2;0;46.67;2.2;2.1;40;2.1;3;;;1
1931;Wales;3;2;Northern Ireland;0;2;0;14.29;1;3.4;25;2.2;2.5;;;1
1931;Paraguay;1;1;Argentina;0;1;0;0;0.8;1.5;50;1.7;0.8;;;1
1931;Netherlands;1;1;Germany;0;1;0;30;2.1;2.8;23.08;1.8;2.5;;;1
1931;Spain;1;1;Republic of Ireland;0;1;0;50;1.5;1.5;33.33;1.3;2.3;;;1
1931;Austria;0;0;Hungary;0;1;0;50;2.9;1;37.5;2.4;2.1;;;1
1931;Belgium;4;2;Netherlands;0;2;0;40;2.3;2.1;30;2.1;2.8;;;1
1931;Romania;5;2;Bulgaria;0;2;0;75;4;2.2;40;2.1;3;;;1
1931;France;5;2;England;0;2;0;23.08;1.7;2.7;63.64;3.5;1.6;;;1
1931;Austria;5;0;Scotland;0;2;0;50;2.9;1;54.55;1.7;1.8;;;1
1931;Belgium;1;4;England;0;0;0;40;2.3;2.1;63.64;3.5;1.6;;;1
1931;Italy;3;0;Scotland;0;2;0;61.54;2.5;0.9;54.55;1.7;1.8;;;1
1931;Yugoslavia;3;2;Hungary;0;2;0;46.67;2.2;2.1;37.5;2.4;2.1;;;1
1931;Germany;0;6;Austria;0;0;0;23.08;1.8;2.5;50;2.9;1;;;1
1931;Switzerland;2;3;Scotland;0;0;0;7.14;1.6;3.6;54.55;1.7;1.8;;;1
1931;Denmark;3;1;Norway;0;2;0;44.44;2.9;2.1;44.44;2.6;2.1;;;1
1931;Portugal;3;2;Belgium;0;2;0;50;1.2;1.2;40;2.3;2.1;;;1
1931;Czechoslovakia;7;3;Switzerland;0;2;0;37.5;2;1.6;7.14;1.6;3.6;;;1
1931;Denmark;0;2;Netherlands;0;0;0;44.44;2.9;2.1;30;2.1;2.8;;;1
1931;Poland;0;4;Czechoslovakia;0;0;0;50;3;2;37.5;2;1.6;;;1
1931;Austria;2;0;Switzerland;0;2;0;50;2.9;1;7.14;1.6;3.6;;;1
1931;Sweden;0;0;Germany;0;1;0;50;2.9;2;23.08;1.8;2.5;;;1
1931;Norway;2;2;Germany;0;1;0;44.44;2.6;2.1;23.08;1.8;2.5;;;1
1931;Sweden;3;1;Denmark;0;2;0;50;2.9;2;44.44;2.9;2.1;;;1
1931;Yugoslavia;2;4;Romania;0;0;0;46.67;2.2;2.1;75;4;2.2;;;1
1931;Sweden;8;2;Autre pays;0;2;0;50;2.9;2;20;0.8;1.8;;;1
1931;Argentina;1;1;Paraguay;0;1;0;50;1.7;0.8;0;0.8;1.5;;;1
1931;Sweden;3;1;Autre pays;0;2;0;50;2.9;2;20;0.8;1.8;;;1
1931;Argentina;3;1;Paraguay;0;2;0;50;1.7;0.8;0;0.8;1.5;;;1
1931;Sweden;6;0;Autre pays;0;2;0;50;2.9;2;20;0.8;1.8;;;1
1931;Yugoslavia;2;1;Czechoslovakia;0;2;0;46.67;2.2;2.1;37.5;2;1.6;;;1
1931;Poland;2;3;Romania;0;0;0;50;3;2;75;4;2.2;;;1
1931;Autre pays;2;4;Romania;0;0;0;20;0.8;1.8;75;4;2.2;;;1
1931;Brazil;2;0;Uruguay;0;2;0;100;3.2;1.5;0;0.5;1.5;;;1
1931;Autre pays;4;4;Norway;0;1;0;20;0.8;1.8;44.44;2.6;2.1;;;1
1931;Austria;5;0;Germany;0;2;0;50;2.9;1;23.08;1.8;2.5;;;1
1931;Scotland;3;1;Northern Ireland;0;2;0;54.55;1.7;1.8;25;2.2;2.5;;;1
1931;Hungary;3;0;Czechoslovakia;0;2;0;37.5;2.4;2.1;37.5;2;1.6;;;1
1931;Bulgaria;5;1;Turkey;0;2;0;40;2.1;3;50;1.5;2.5;;;1
1931;Germany;4;2;Denmark;0;2;0;23.08;1.8;2.5;44.44;2.9;2.1;;;1
1931;Norway;2;1;Sweden;0;2;0;44.44;2.6;2.1;50;2.9;2;;;1
1931;Turkey;2;0;Yugoslavia;0;2;0;50;1.5;2.5;46.67;2.2;2.1;;;1
1931;Bulgaria;3;2;Yugoslavia;0;2;0;40;2.1;3;46.67;2.2;2.1;;;1
1931;Hungary;2;2;Austria;0;1;0;37.5;2.4;2.1;50;2.9;1;;;1
1931;Belgium;2;1;Poland;0;2;0;40;2.3;2.1;50;3;2;;;1
1931;Denmark;2;3;Autre pays;0;0;0;44.44;2.9;2.1;20;0.8;1.8;;;1
1931;Northern Ireland;2;6;England;0;0;0;25;2.2;2.5;63.64;3.5;1.6;;;1
1931;Bulgaria;2;1;Greece;0;2;0;40;2.1;3;33.33;2.2;3.3;;;1
1931;Poland;6;3;Yugoslavia;0;2;0;50;3;2;46.67;2.2;2.1;;;1
1931;Wales;2;3;Scotland;0;0;0;14.29;1;3.4;54.55;1.7;1.8;;;1
1931;Hungary;3;1;Sweden;0;2;0;37.5;2.4;2.1;50;2.9;2;;;1
1931;Italy;2;2;Czechoslovakia;0;1;0;61.54;2.5;0.9;37.5;2;1.6;;;1
1931;England;3;1;Wales;0;2;0;63.64;3.5;1.6;14.29;1;3.4;;;1
1931;France;3;4;Netherlands;0;0;0;23.08;1.7;2.7;30;2.1;2.8;;;1
1931;Greece;2;4;Romania;0;0;0;33.33;2.2;3.3;75;4;2.2;;;1
1931;Switzerland;1;8;Austria;0;0;0;7.14;1.6;3.6;50;2.9;1;;;1
1931;Northern Ireland;4;0;Wales;0;2;0;25;2.2;2.5;14.29;1;3.4;;;1
1931;Belgium;2;1;Switzerland;0;2;0;40;2.3;2.1;7.14;1.6;3.6;;;1
1931;England;7;1;Spain;0;2;0;63.64;3.5;1.6;50;1.5;1.5;;;1
1931;Republic of Ireland;0;5;Spain;0;0;0;33.33;1.3;2.3;50;1.5;1.5;;;1
1931;Italy;3;2;Hungary;0;2;0;61.54;2.5;0.9;37.5;2.4;2.1;;;1
1932;Italy;3;0;Switzerland;0;2;0;57.14;2.1;1;21.43;1.7;3.1;;;1
1932;Egypt;0;0;Hungary;0;1;0;0;0;0;35.29;2.1;2.1;;;1
1932;Germany;2;0;Switzerland;0;2;0;33.33;1.5;2.1;21.43;1.7;3.1;;;1
1932;Haiti;4;1;Jamaica;0;2;0;50;2;1;50;1;2;;;1
1932;Austria;2;1;Italy;0;2;0;70.59;3.6;1.2;57.14;2.1;1;;;1
1932;Belgium;1;4;Netherlands;0;0;0;41.67;2.2;2.8;60;2.1;1.6;;;1
1932;Czechoslovakia;1;3;Hungary;0;0;0;40;2;2;35.29;2.1;2.1;;;1
1932;Haiti;0;1;Jamaica;0;0;0;50;2;1;50;1;2;;;1
1932;Switzerland;3;3;France;0;1;0;21.43;1.7;3.1;25;2.2;3.1;;;1
1932;Greece;1;2;Bulgaria;0;0;0;0;1;3.2;66.67;2.4;1.8;;;1
1932;Greece;2;2;Bulgaria;0;1;0;0;1;3.2;66.67;2.4;1.8;;;1
1932;England;3;0;Scotland;0;2;0;70;3;1.5;54.55;1.8;2;;;1
1932;France;1;2;Italy;0;0;0;25;2.2;3.1;57.14;2.1;1;;;1
1932;Autre pays;1;0;Trinidad and Tobago;0;2;0;20;0.8;1.8;62.5;2.5;1;;;1
1932;Autre pays;1;0;Trinidad and Tobago;0;2;0;20;0.8;1.8;62.5;2.5;1;;;1
1932;Netherlands;2;1;Belgium;0;2;0;60;2.1;1.6;41.67;2.2;2.8;;;1
1932;Switzerland;5;1;Czechoslovakia;0;2;0;21.43;1.7;3.1;40;2;2;;;1
1932;Autre pays;1;2;Trinidad and Tobago;0;0;0;20;0.8;1.8;62.5;2.5;1;;;1
1932;Austria;8;2;Hungary;0;2;0;70.59;3.6;1.2;35.29;2.1;2.1;;;1
1932;Spain;2;1;Yugoslavia;0;2;0;40;1.8;1.8;43.75;2.2;2.2;;;1
1932;Autre pays;1;3;Trinidad and Tobago;0;0;0;20;0.8;1.8;62.5;2.5;1;;;1
1932;Belgium;5;2;France;0;2;0;41.67;2.2;2.8;25;2.2;3.1;;;1
1932;Portugal;3;2;Yugoslavia;0;2;0;66.67;2;2;43.75;2.2;2.2;;;1
1932;France;1;3;Scotland;0;0;0;25;2.2;3.1;54.55;1.8;2;;;1
1932;Hungary;1;1;Italy;0;1;0;35.29;2.1;2.1;57.14;2.1;1;;;1
1932;Netherlands;0;2;Republic of Ireland;0;0;0;60;2.1;1.6;33.33;1;2;;;1
1932;Argentina;2;0;Uruguay;0;2;0;50;1.3;0.7;25;0.5;1.5;;;1
